,GDPchange,GDPpast
0,,
1,inf,0.0
2,-0.14909684703070958,5.69547095
3,0.44775882568692316,4.846294189
4,-0.5150561806359456,7.016265184
5,0.5709325700716592,3.402494436
6,-0.16911425410529368,5.345089329
7,0.175974140309759,4.441158534
8,-0.03533203716581723,5.222687589
9,-0.06920899648542833,5.038159397
10,-0.2126008317444269,4.689473441
11,0.4594520455310618,3.692487487
12,0.007678421484209386,5.389008416
13,0.617197507857991,5.430387494
14,-0.6134590238017291,8.782009122
15,0.6058129460081356,3.394606379
16,0.610390326572575,5.45110287
17,-0.3662890571050704,8.778403331
18,-0.06661652052997535,5.562970252
19,0.07764959310515462,5.19238453
20,-0.07056652335158353,5.595571076
21,-0.3419729175461085,5.200711079
22,0.08070733907406669,3.422208738
23,-0.48708937330789326,3.698406099
24,-4.710889353176445,1.89695179
25,-0.025712639217805755,-7.039378201
26,-1.5118826105675636,-6.858377209
27,0.24243869164152598,3.51068403
28,0.5353561037875207,4.361809673
29,-0.07660417793711194,6.696931105
30,-0.5015017295176212,6.183918203
31,-1.1415622570658073,3.082672529
32,-1.9570086126682609,-0.436390081
33,4.224468705920962,0.417629066
34,1.0045309094699704,2.181889986
35,0.057516784252930275,4.373665918
36,0.2670405707303436,4.625225117
37,-0.11499935033208208,5.860347872
38,-1.0991225981109807,5.186411674
39,-7.509458029382371,-0.5140906
40,0.30959771771169486,3.346451184
41,-0.30422632120346593,4.382504833
